Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Division,Import/Export,Product Type
Sudan,496,422,400,426,387,310,507,576,611,440,Africa,Import,Semi-finished and Finished Steel
Tanzania,321,332,443,411,726,602,667,551,535,732,Africa,Import,Semi-finished and Finished Steel
Tunisia,925,1 108,997,810,886,955,1 098,1 010,1 169,1 300,Africa,Import,Semi-finished and Finished Steel
Other Africa,3 293,2 975,3 541,4 203,4 701,4 973,5 219,4 496,3 867,4 173,Africa,Import,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Bahrain,100,176,197,176,99,94,160,417,590,493,Middle East,Import,Semi-finished and Finished Steel
Iran,9 139,9 613,8 556,5 604,3 111,4 187,4 472,4 683,3 098,1 790,Middle East,Import,Semi-finished and Finished Steel
Iraq,1 920,2 297,2 676,4 028,4 480,3 116,2 878,2 472,2 366,2 781,Middle East,Import,Semi-finished and Finished Steel
Israel,1 334,1 530,1 808,1 926,2 164,2 335,2 651,2 983,2 828,3 023,Middle East,Import,Semi-finished and Finished Steel
Jordan,1 567,1 336,1 094,1 245,868,854,863,1 392,765,824,Middle East,Import,Semi-finished and Finished Steel
Kuwait,617,1 521,1 123,788,680,728,1 000,1 477,1 141,1 149,Middle East,Import,Semi-finished and Finished Steel
Lebanon,2 533,2 455,2 748,2 999,1 500,1 482,1 196,1 515,1 177,961,Middle East,Import,Semi-finished and Finished Steel
Oman,426,496,689,862,688,968,1 182,1 768,1 538,1 734,Middle East,Import,Semi-finished and Finished Steel
Qatar,287,136,239,319,215,272,300,443,473,732,Middle East,Import,Semi-finished and Finished Steel
Saudi Arabia,3 419,5 179,6 210,8 092,6 664,6 641,6 491,7 355,4 610,3 739,Middle East,Import,Semi-finished and Finished Steel
Syria,2 317,1 795,1 977,638,267,350,325,277,292,288,Middle East,Import,Semi-finished and Finished Steel
United Arab Emirates,6 030,6 818,6 115,6 242,5 590,6 647,6 608,7 422,6 501,5 747,Middle East,Import,Semi-finished and Finished Steel
Yemen,820,517,355,653,859,899,402,802,893,1 018,Middle East,Import,Semi-finished and Finished Steel
Other Middle East,...,1,...,0,...,0,3,0,0,0,Middle East,Import,Semi-finished and Finished Steel
,,,,,,,,,,,,,
Bangladesh,1 641,1 834,1 990,2 316,2 468,2 720,4 030,4 014,2 673,3 140,Asia,Import,Semi-finished and Finished Steel
China,22 350,17 181,16 349,14 154,14 774,14 903,13 178,13 581,13 909,14 366,Asia,Import,Semi-finished and Finished Steel
Hong Kong,2 830,3 241,3 013,3 029,3 365,3 827,3 694,3 306,3 027,2 763,Asia,Import,Semi-finished and Finished Steel
India,8 288,9 744,9 213,9 341,7 392,9 477,13 284,9 904,8 882,9 026,Asia,Import,Semi-finished and Finished Steel
Indonesia,5 712,7 614,8 595,12 032,12 297,11 026,11 413,12 574,11 414,11 700,Asia,Import,Semi-finished and Finished Steel
Japan,3 037,4 440,5 563,5 733,5 413,6 733,5 918,6 014,6 233,6 040,Asia,Import,Semi-finished and Finished Steel
D.P.R. Korea (e),93,95,114,124,133,175,234,254,179,3,Asia,Import,Semi-finished and Finished Steel
South Korea,20 340,24 779,22 828,20 402,19 033,22 408,21 674,23 285,19 323,14 928,Asia,Import,Semi-finished and Finished Steel
Malaysia,3 908,5 189,5 067,5 942,6 722,7 637,7 816,9 073,7 738,7 952,Asia,Import,Semi-finished and Finished Steel
Myanmar,802,911,1 193,1 439,1 437,2 147,2 420,2 374,2 004,2 076,Asia,Import,Semi-finished and Finished Steel
Pakistan,1 739,1 695,1 591,1 953,2 062,2 477,3 411,4 358,3 917,3 474,Asia,Import,Semi-finished and Finished Steel
